by,discussion_id,score,timestamp,title,url,stars_at_submission,stars_month_1,stars_month_2,stars_month_3,stars_month_4,stars_month_5,commits_at_submission,commits_month_1,commits_month_2,commits_month_3,commits_month_4,commits_month_5,pull_requests_at_submission,pull_requests_month_1,pull_requests_month_2,pull_requests_month_3,pull_requests_month_4,pull_requests_month_5,forks_at_submission,forks_month_1,forks_month_2,forks_month_3,forks_month_4,forks_month_5,contributors_at_submission,contributors_month_1,contributors_month_2,contributors_month_3,contributors_month_4,contributors_month_5
meiyulee,35163854,1,2023-03-15 04:24:33 UTC,Show HN: MathGPT for numerical modelling–AI software–All for number & Scientist,https://github.com/meiyulee/MathGPT,22,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
axel_hwang,35164105,8,2023-03-15 05:02:58 UTC,Alpaca-LoRA: finetuning LLaMA to text-DaVinci-003 quality on consumer hardware,https://github.com/tloen/alpaca-lora,6882,2851,4225,850,580,352,114,21,0,0,0,0,106,52,18,2,10,2,765,450,388,135,89,60,39,32,14,2,3,1
zinedkaloc,35166295,5,2023-03-15 10:54:41 UTC,Show HN: AI Powered Email Marketing and Lead Management,https://github.com/zinedkaloc/ai-lead-email-marketing,5,0,2,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
boyneyy123,35166440,1,2023-03-15 11:12:31 UTC,Open source project: Generate bed time stories using ChatGPT and DALL-E,https://github.com/aws-samples/aws-serverless-ai-stories,52,28,8,8,4,3,1,2,1,1,0,0,1,1,0,5,0,0,13,7,7,7,0,1,2,1,1,3,0,0
wsxiaoys,35170621,3,2023-03-15 16:18:44 UTC,Show HN: I made a self-hosted code search and explanation with AI,https://github.com/TabbyML/quick-question,13,3,1,1,0,0,65,1,0,0,0,0,33,0,0,0,0,0,2,0,0,0,1,0,4,1,0,0,0,0
rrampage,35171527,202,2023-03-15 17:15:19 UTC,Llama.rs – Rust port of llama.cpp for fast LLaMA inference on CPU,https://github.com/setzer22/llama-rs,1597,0,0,0,0,0,33,0,0,0,0,0,31,0,0,0,0,0,67,0,0,0,0,0,14,0,0,0,0,0
a-poor,35171878,1,2023-03-15 17:35:27 UTC,Show HN: Watercooler – A desktop GUI for interacting with the ChatGPT API,https://github.com/a-poor/watercooler,5,2,0,11,0,1,38,5,6,1,20,8,1,3,4,2,0,2,0,0,0,0,0,0,2,2,2,2,1,2
boros2me,35176470,1,2023-03-16 00:12:31 UTC,Show HN: ChatGPT Markdown Saver,https://github.com/TamasNo1/chatgpt-markdown-saver,3,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
appleboy46,35177908,1,2023-03-16 03:45:15 UTC,Writes Git commit messages for you using ChatGPT AI (GPT-3.5-turbo model),https://github.com/appleboy/CodeGPT,253,234,59,52,32,52,112,44,16,7,5,13,44,29,16,10,3,12,9,25,9,8,7,3,6,8,2,4,3,4
oumua_don17,35180399,1,2023-03-16 11:02:02 UTC,Query ChatGPT from the Clojure Emacs REPL,https://github.com/drcode/nrepl-gpt,15,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
quillzhou,35181628,1,2023-03-16 13:25:21 UTC,Show HN: Transmart – Automate your i18n localization with AI,https://github.com/Quilljou/transmart,11,11,2,1,7,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
nomilk,35182023,3,2023-03-16 13:57:17 UTC,"Show HN: Single Command to Add, Commit and Push with AI-Generated Commit Message",https://github.com/stevecondylios/gpt-generated-commit-messages,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
confutio,35183510,1,2023-03-16 15:47:45 UTC,Show HN: Visualize OpenAI Evals of GPT-4,https://github.com/zeno-ml/zeno-evals,3,3,3,1,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
antimatter15,35184985,673,2023-03-16 17:14:51 UTC,Show HN: Alpaca.cpp – Run an Instruction-Tuned Chat-Style LLM on a MacBook,https://github.com/antimatter15/alpaca.cpp,1722,1722,371,143,86,48,2,2,0,0,0,0,9,9,0,0,0,0,224,224,48,31,9,9,9,9,0,0,0,0
ceifa,35190591,3,2023-03-16 23:44:17 UTC,Tiktoken-node – OpenAI's tiktoken but with node bindings,https://github.com/ceifa/tiktoken-node,22,22,16,15,6,6,2,2,1,0,0,0,4,4,0,0,0,0,1,1,0,1,1,1,3,3,1,0,0,0
bennyshi,35192657,1,2023-03-17 03:30:17 UTC,GUI for ChatGPT API,https://github.com/flyyuan/gchatgpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kharvd,35192680,2,2023-03-17 03:33:22 UTC,Show HN: GPT-CLI – A Command-line Interface for ChatGPT,https://github.com/kharvd/gpt-cli,60,91,91,46,43,35,30,11,11,10,20,0,13,7,7,3,13,0,11,14,14,9,5,2,5,4,4,2,3,0
mpociot,35195679,7,2023-03-17 11:42:26 UTC,"Show HN: Llamero – A GUI app to easily download, install and infer LLaMA models",https://github.com/mpociot/llamero,15,5,5,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
lspears,35196975,2,2023-03-17 13:45:51 UTC,ChessGPT: A not-so-powerful ChatGPT chess bot,https://github.com/notnil/chess-gpt,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
mooreds,35199549,1,2023-03-17 16:47:48 UTC,Tutorial Topics from StackExchange Questions Using ChatGPT,https://github.com/bencgreenberg/stackexchange-tutorial-themes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mishamagic,35203151,1,2023-03-17 21:27:52 UTC,GPT / LLM / MLOps security repo,https://github.com/riccitensor/gptsec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nomilk,35212017,2,2023-03-18 18:58:08 UTC,GitGPT: R Library for Automated Git Commit Messages Using OpenAI’s GPT Model,https://github.com/stevecondylios/gitGPT,4,0,0,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
alenjelco,35214017,1,2023-03-18 22:54:17 UTC,An app that uses OpenAI and your diary to answer questions about yourself,https://github.com/alentodorov/real-dark-mirror,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tantony,35215331,2,2023-03-19 02:17:06 UTC,Show HN: Python Bindings for llama.cpp with some CLIs,https://github.com/thomasantony/llamacpp-python,61,10,4,2,4,4,19,0,0,0,0,0,11,0,0,0,0,0,9,0,3,0,0,0,3,0,0,0,0,0
enricoros,35217536,126,2023-03-19 10:02:08 UTC,Show HN: Next.js ChatGPT – Responsive chat application powered by GPT-4,https://github.com/enricoros/nextjs-chatgpt-app,180,0,0,0,0,0,177,0,0,0,0,0,41,0,0,0,0,0,88,0,0,0,0,0,10,0,0,0,0,0
shellfly,35219182,3,2023-03-19 14:21:53 UTC,Aoi – Ghost in the Shell Powered by ChatGPT,https://github.com/shellfly/aoi,12,2,3,3,0,0,0,0,6,0,0,0,0,0,4,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0
huac,35220587,3,2023-03-19 16:25:14 UTC,Show HN: ChatGPT as a CLI,https://github.com/stillmatic/chat,3,1,0,0,0,0,4,1,1,1,2,1,5,0,0,0,1,1,0,0,0,0,0,0,2,1,1,1,1,1
ymosy,35222616,3,2023-03-19 19:30:52 UTC,Show HN: Chat Box – Fabrice Bellard's ts_server with ChatGPT-generated front end,https://github.com/ymosy/chatbox,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
ramblerman,35223759,315,2023-03-19 21:18:49 UTC,Show HN: Chatblade – A CLI Swiss Army Knife for ChatGPT,https://github.com/npiv/chatblade,258,81,99,69,26,30,9,2,1,0,1,0,6,0,0,0,1,0,7,2,1,3,4,1,4,1,1,0,2,0
jequals5,35227372,2,2023-03-20 04:42:12 UTC,A ChatGPT email reply engine for fun,https://github.com/markyjackson-taulia/juliemail,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doener,35228097,2,2023-03-20 06:47:00 UTC,Proof-of-concept integration of ChatGPT into Unity Editor,https://github.com/keijiro/AICommand,406,125,92,44,50,33,0,0,0,0,0,0,0,0,0,0,0,0,68,19,12,6,6,7,0,0,0,0,0,0
hansololz,35228491,1,2023-03-20 07:50:39 UTC,Python ChatGPT Client for the CLI,https://github.com/hansololz/rubberduck-ai,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
antondd,35231575,2,2023-03-20 13:58:50 UTC,A tool to remove adversarial noise (like Glaze) from AI-generated images,https://github.com/lllyasviel/AdverseCleaner,23,9,5,3,11,19,0,0,0,0,0,2,1,0,0,0,0,2,1,0,2,0,2,4,1,0,0,0,0,1
andyk,35234276,97,2023-03-20 16:38:55 UTC,Show HN: Recursive LLM Prompts,https://github.com/andyk/recursive_llm,8,0,4,1,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
egesko,35235692,2,2023-03-20 17:54:44 UTC,Make AI Robust and Trustworthy with CAPSA!,https://github.com/themis-ai/capsa,55,14,9,12,6,3,5,0,13,3,2,0,7,0,1,2,2,0,3,1,0,3,0,1,4,0,3,4,2,0
pncnmnp,35236730,2,2023-03-20 18:54:58 UTC,Show HN: Grammatical – A CLI spelling and grammar corrector using ChatGPT,https://github.com/pncnmnp/grammatical,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hasheddan,35238336,2,2023-03-20 20:38:26 UTC,Kubectl-AI,https://github.com/sozercan/kubectl-ai,167,53,22,18,10,22,37,22,0,6,30,0,42,21,8,19,30,12,13,9,0,2,1,3,4,4,1,3,4,1
qubitqubit,35241412,9,2023-03-21 01:31:07 UTC,ChatGPTify: Spotify Playlist Generator via ChatGPT,https://github.com/idilsulo/ChatGPTify,41,18,13,9,6,8,5,1,0,0,0,0,7,0,0,0,0,0,6,2,0,1,1,0,4,1,0,0,0,0
ahmetsulek,35243287,1,2023-03-21 07:07:54 UTC,Show HN: Open-Source ChatGPT Quick Access Widget,https://github.com/unijump-ai/unijump-extension,91,26,5,3,1,3,17,0,0,1,0,0,14,0,0,0,0,0,14,4,2,0,0,0,2,0,0,1,0,0
pallas_athena,35243435,343,2023-03-21 07:35:23 UTC,Awesome-totally-open-ChatGPT: A list of open alternatives to ChatGPT,https://github.com/nichtdax/awesome-totally-open-chatgpt,720,248,107,68,68,50,10,2,0,0,0,0,7,1,0,0,0,0,52,11,9,3,2,4,4,1,0,0,0,0
xenodium,35246707,2,2023-03-21 14:30:52 UTC,Show HN: A minimal ChatGPT Emacs shell,https://github.com/xenodium/chatgpt-shell,185,92,43,35,25,20,130,48,25,33,6,2,20,5,12,6,6,1,14,7,5,2,4,1,10,3,6,4,5,2
rzzzz,35248939,1,2023-03-21 16:52:43 UTC,Adversarial AI Reading List,https://github.com/rzhade3/adversarial-ai-reading-list,4,2,0,0,0,1,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
yanglet,35251867,2,2023-03-21 20:13:39 UTC,ChatGPT to Revolutionize FinTech?,https://github.com/AI4Finance-Foundation/ChatGPT-for-FinTech,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mpaepper,35252223,84,2023-03-21 20:42:12 UTC,Your website's content -> Q&A bot / chatbot,https://github.com/mpaepper/content-chatbot,123,40,15,8,12,6,0,0,0,0,0,0,0,0,0,0,0,0,7,6,8,2,1,2,0,0,0,0,0,0
onmysofa,35254408,1,2023-03-21 23:37:11 UTC,Make your research paper a chatbot,https://github.com/ruogudu/PaperGPT,30,4,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
zazk,35256005,2,2023-03-22 02:28:59 UTC,AI Resources and Tools,https://github.com/zazk/AI-Resources-and-Tools,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
lxe,35256769,449,2023-03-22 04:15:29 UTC,Show HN: Finetune LLaMA-7B on commodity GPUs using your own text,https://github.com/lxe/simple-llama-finetuner,73,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
og_kalu,35256990,4,2023-03-22 04:55:36 UTC,MM-React: Multimodal Reasoning and Action with ChatGPT,https://github.com/microsoft/MM-REACT,155,49,38,35,18,16,20,44,0,0,0,0,14,23,2,6,5,1,19,3,6,3,1,5,3,2,1,1,1,1
lynx23,35258228,1,2023-03-22 08:19:03 UTC,OpenAI-KISS: hear|ask,https://github.com/mlang/openai-kiss,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sahil_chaudhary,35259935,2,2023-03-22 12:19:24 UTC,CodeAlpaca – LLaMA based instruction following code generation model,https://github.com/sahil280114/codealpaca,164,93,85,51,37,35,2,4,0,0,0,0,0,0,0,0,0,0,17,5,6,3,6,3,1,1,0,0,0,0
yuvalsteuer,35262739,6,2023-03-22 15:38:12 UTC,"Show HN: self-hosted, AI-powered search engine for your workplace",https://github.com/GerevAI/gerev,306,109,55,57,32,29,78,5,1,0,0,0,22,0,6,1,0,0,27,6,6,5,2,6,7,1,2,1,0,0
thunderbong,35267017,2,2023-03-22 20:59:28 UTC,Acheong08 / Bard: Public Reverse Engineering of Google's Bard Chatbot,https://github.com/acheong08/Bard,217,695,88,86,29,12,7,21,15,7,0,0,0,11,4,10,0,0,29,84,17,19,10,4,1,5,3,5,0,0
aargh_aargh,35268197,180,2023-03-22 22:56:00 UTC,Everything ChatGPT – under the hood of the ChatGPT web app,https://github.com/terminalcommandnewsletter/everything-chatgpt,49,35,20,17,11,13,11,11,4,5,1,0,0,0,0,0,0,0,1,3,0,2,0,1,1,1,1,1,1,0
5n,35269246,2,2023-03-23 00:58:22 UTC,"Show HN: Inject VSCode code, errors, and definitions into your ChatGPT prompt",https://github.com/TextQLLabs/mkprompt,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AineeJames,35270343,4,2023-03-23 03:52:02 UTC,GPTerminator – ChatGPT in the Terminal,https://github.com/AineeJames/ChatGPTerminator,37,7,6,5,4,1,3,3,0,0,0,0,4,11,0,1,0,0,5,5,0,1,1,0,2,3,0,1,0,0
saiyan86,35270558,2,2023-03-23 04:30:51 UTC,Show HN: I made a code rating system for automated coding interviews via OpenAI,https://github.com/saiyan86/codeRating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thunderbong,35270841,3,2023-03-23 05:35:49 UTC,Serge: Web interface for Alpaca through llama.cpp. Fully Dockerized,https://github.com/nsarrazin/serge,1030,267,128,0,0,0,214,149,56,0,0,0,169,179,70,0,0,0,101,34,4,0,0,0,10,6,5,0,0,0
alex_hirner,35271166,2,2023-03-23 06:38:47 UTC,A Nix flake for many AI projects,https://github.com/nixified-ai/flake,79,43,34,34,21,27,14,7,7,0,1,0,8,1,2,0,1,0,8,4,3,5,5,2,6,4,4,0,2,0
mandgie,35271429,1,2023-03-23 07:14:56 UTC,Chatter – A Python CLI for OpenAI chat models,https://github.com/mandgie/chatter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beigebrucewayne,35274984,3,2023-03-23 14:03:56 UTC,Show HN: GM – standup generator with GitHub API and ChatGPT,https://github.com/kadekillary/GM,4,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
devstein,35278597,46,2023-03-23 17:51:01 UTC,ChatGPT Retrieval Plugin,https://github.com/openai/chatgpt-retrieval-plugin,3046,2281,787,517,326,340,15,28,2,1,0,0,66,57,17,12,14,5,794,702,266,143,105,81,39,28,14,9,5,3
pffft8888,35281026,328,2023-03-23 20:45:35 UTC,RWKV RNN: Better than ChatGPT?,https://github.com/BlinkDL/RWKV-LM,1277,1793,790,534,371,286,16,11,5,12,5,19,5,6,1,1,2,4,72,112,53,44,24,15,5,6,2,2,3,4
HelloImSteven,35281666,1,2023-03-23 21:39:24 UTC,File AI – Raycast Extension for Summarizing and Analyzing Selected Files,https://github.com/SKaplanOfficial/Raycast-File-AI,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
talboren,35284091,6,2023-03-24 01:55:10 UTC,Show HN: ChatGPT develops a Dungeons and Dragons multiplayer game,https://github.com/talboren/gpt-dnd-game,5,1,1,0,1,1,3,0,0,0,0,0,13,5,0,0,2,0,2,0,0,0,1,0,1,1,0,0,1,0
mntruell,35285047,14,2023-03-24 04:20:11 UTC,Cursor: A code editor built for programming with AI,https://github.com/getcursor/cursor,3932,753,277,302,951,493,15,4,1,2,2,0,21,21,0,0,0,0,413,60,25,15,38,17,8,1,1,2,2,0
fredliu,35285664,3,2023-03-24 06:22:44 UTC,Show HN: LiveQuery GPT-4 – Chatbot with Real-Time Search,https://github.com/fredliubojin/langchain_gradio,20,21,8,6,1,3,2,0,0,0,0,0,2,1,0,1,0,0,3,8,3,4,2,0,2,1,0,1,0,0
wonderfuly,35287436,78,2023-03-24 10:59:55 UTC,"Show HN: Use ChatGPT, Bing and Bard in one app",https://github.com/chathub-dev/chathub,1099,1716,525,420,652,201,37,177,79,38,52,12,11,59,35,22,14,8,128,128,69,51,42,27,5,7,4,4,2,2
luanjunyi,35289762,2,2023-03-24 14:49:14 UTC,Use ChatGPT from a Terminal (Need OpenAPI's API Key),https://github.com/luanjunyi/open_ai_cmd,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
breadchris,35296496,6,2023-03-24 22:23:08 UTC,ChatGPT Plugin examples that are ready to run,https://github.com/breadchris/chatgpt-plugin-examples,11,9,5,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,3,2,2,2,0,0,2,0,0,0,0,0
huydotnet,35298347,3,2023-03-25 01:56:45 UTC,Sequencegenius – Create diagram from your idea with AI,https://github.com/huytd/sequencegenius,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TalFeld,35299433,4,2023-03-25 04:33:00 UTC,Show HN: Simple open-source cmd+b interface to OpenAI’s API,https://github.com/INT-Calutt/buddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
going_ham,35301657,238,2023-03-25 11:39:08 UTC,Show HN: ChatGPT Plugins are a security nightmare,https://github.com/greshake/llm-security,155,159,127,68,49,41,4,0,2,0,0,0,1,0,1,0,0,0,13,8,12,3,0,2,1,0,2,0,0,0
k-ian,35304078,157,2023-03-25 16:11:50 UTC,Show HN: Aquarium – AI Controlled Containers,https://github.com/fafrd/aquarium,146,19,1,8,3,3,4,0,0,0,0,0,4,0,0,0,0,0,11,3,0,0,1,1,2,0,0,0,0,0
shivamsh,35304896,2,2023-03-25 17:27:21 UTC,Koi: A CLI Assistant Built with ChatGPT,https://github.com/shivam-sh/koi,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hackathonguy,35305467,1,2023-03-25 18:22:28 UTC,Comprehensive List of ChatGPT Plugins and Resources,https://github.com/yoavanaki/chatgpt-plugins,17,63,50,37,19,13,1,0,0,0,0,0,2,0,3,0,0,0,1,6,4,1,0,1,2,0,3,0,0,0
jeadie,35310743,2,2023-03-26 03:59:31 UTC,Show HN: ChatGPT Plugins,https://github.com/Jeadie/awesome-chatgpt-plugins,77,67,26,19,12,8,6,2,1,0,0,0,11,0,2,0,0,0,10,4,2,1,0,2,5,1,2,0,0,0
skilled,35311585,2,2023-03-26 06:15:33 UTC,Reverse Engineered API of Microsoft's Bing Chat AI,https://github.com/acheong08/EdgeGPT,1225,821,453,290,126,88,70,87,126,14,6,0,72,72,64,17,5,0,148,106,73,35,25,19,15,17,16,6,2,0
gourmetcode,35312375,10,2023-03-26 08:35:41 UTC,Show-HN: X - Solve complex tasks (eg writing and testing code) using LLM-Chains,https://github.com/aymenfurter/x,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
wastella,35314976,2,2023-03-26 14:44:55 UTC,Hacked Together a Python Wrapper for Dalai (LLaMa and Alpaca),https://github.com/wastella/dalaipy,9,6,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
textcortex,35316214,8,2023-03-26 16:21:38 UTC,Show HN: ICortex: LLM Powered Python Interpreter,https://github.com/textcortex/icortex,5,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
oriettaxx,35316720,3,2023-03-26 17:02:55 UTC,Show HN: Speech to ChatGPT to Speech (simple bash script),https://github.com/francescor/speech-to-chatgpt-to-speech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fatso784,35317017,2,2023-03-26 17:27:02 UTC,"Shorten a paragraph of text using ChatGPT, from the command line",https://github.com/ianarawjo/chatgpt-extractive-shortener,1,1,0,2,0,0,2,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
tweetsift,35317253,1,2023-03-26 17:47:51 UTC,Krecicki / ChatGPT-Trading-Bot-for-KuCoin / GitHub Repo,https://github.com/krecicki/ChatGPT-Trading-Bot-for-KuCoin,8,7,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
akane8,35317576,2,2023-03-26 18:15:13 UTC,Aicmd – Use ChatGPT to help you write shell commands without leaving terminal,https://github.com/kunchenguid/aicmd,36,2,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0
snow2,35317700,2,2023-03-26 18:25:49 UTC,Create Java Apps with AI (ChatGPT),https://github.com/pwgit-create/AppWish,1,0,0,0,0,0,23,4,0,0,0,5,7,2,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,1
transitivebs,35318494,2,2023-03-26 19:24:28 UTC,Checking Alexa's top 1M domains for OpenAI's well-known plugin.json,https://github.com/transitive-bullshit/chatgpt-well-known-plugin-finder,27,28,3,4,5,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,2,0,1,0,0,0,0,0
alexzeitler,35320571,612,2023-03-26 22:54:47 UTC,BlenderGPT: Use commands in English to control Blender with OpenAI's GPT-4,https://github.com/gd3kr/BlenderGPT,571,217,80,81,49,42,2,0,1,0,0,0,5,1,0,0,0,0,69,21,7,5,10,3,3,1,1,0,0,0
LatticeAnimal,35327112,241,2023-03-27 14:29:55 UTC,Show HN: Open AI is not Open – A browser extension,https://github.com/zaporter/OpenAI-is-not-Open,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wsxiaoys,35328200,4,2023-03-27 15:48:45 UTC,Awesome AI Coding List,https://github.com/wsxiaoys/awesome-ai-coding,35,21,21,26,12,13,5,8,3,1,4,1,1,3,0,2,5,0,3,1,0,2,2,1,2,2,1,1,1,1
kelsey9876543,35328294,2,2023-03-27 15:56:05 UTC,Show HN: GPT-Shell – An AI-Powered Bash Shell,https://github.com/kernelzeroday/gpt-3.5-turbo-shell,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bhupesh,35329916,4,2023-03-27 17:52:04 UTC,Summarize Articles on Hacker News Using OpenAI API,https://github.com/MeowthyVoyager/HNsummary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daviTeodoro,35331540,2,2023-03-27 19:56:00 UTC,Show HN: J.a.r.v.i.s – ChatGPT running bash in your terminal,https://github.com/DaviTeodoro/J.A.R.V.I.S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flrngel,35337452,2,2023-03-28 08:28:17 UTC,Weak Labeling Tool for Named Entity Recognition Using ChatGPT,https://github.com/ainbr/chatgpt-weak-labeler-web-ui,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jswanhart,35338459,1,2023-03-28 10:30:07 UTC,Use ChatGPT Anywhere in the Browser,https://github.com/greenlion/OpenChatGPTAnywhere,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
npgraph,35341149,3,2023-03-28 13:56:13 UTC,"Show HN: Python Monitoring for AI: LLMs, OpenAI, Inference, GPUs",https://github.com/graphsignal/graphsignal-python,9,9,6,9,1,3,12,18,4,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0
phat3,35341225,1,2023-03-28 14:00:15 UTC,Show HN: LLM-REPL: A REPL interface to interact with various LLMs,https://github.com/Phat3/LLM-Repl,7,2,1,4,0,2,16,0,0,1,4,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,2,1,0
mikrl,35343207,1,2023-03-28 16:02:05 UTC,Show HN: Django-LLM (manage langchain in Django),https://github.com/mikrl/django-llm,8,5,9,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dylanjcastillo,35344047,1,2023-03-28 16:50:44 UTC,Show HN: Use ChatGPT on your desktop using an app built by ChatGPT,https://github.com/dylanjcastillo/chatgpt-desktop,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
osurits,35344787,158,2023-03-28 17:33:08 UTC,Show HN: A fully open-source (Apache 2.0)implementation of llama,https://github.com/Lightning-AI/lit-llama,1277,1206,436,287,154,101,243,112,21,3,0,7,127,118,26,7,3,5,114,123,47,40,27,14,13,25,11,4,3,2
arbol,35346295,1,2023-03-28 19:12:09 UTC,Solving text captcha using ChatGPT,https://github.com/kokiez/hcaptcha-solver-text-based,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
drewbaumann,35348309,4,2023-03-28 21:40:28 UTC,Show HN: ChatGPT Highlight – A KOReader Plugin Powered by OpenAI,https://github.com/drewbaumann/AskGPT,4,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
qeternity,35349608,593,2023-03-28 23:31:09 UTC,Gpt4all: A chatbot trained on ~800k GPT-3.5-Turbo Generations based on LLaMa,https://github.com/nomic-ai/gpt4all,20145,7539,3909,2084,1537,1188,97,195,422,213,52,74,59,220,251,117,27,33,2378,779,517,273,181,137,35,32,34,24,14,12
