by,discussion_id,score,timestamp,title,url,stars_at_submission,stars_month_1,stars_month_2,stars_month_3,stars_month_4,stars_month_5,commits_at_submission,commits_month_1,commits_month_2,commits_month_3,commits_month_4,commits_month_5,pull_requests_at_submission,pull_requests_month_1,pull_requests_month_2,pull_requests_month_3,pull_requests_month_4,pull_requests_month_5,forks_at_submission,forks_month_1,forks_month_2,forks_month_3,forks_month_4,forks_month_5,contributors_at_submission,contributors_month_1,contributors_month_2,contributors_month_3,contributors_month_4,contributors_month_5,average_comments_sentiment,overall_comments_sentiment,dist_stars(submission-month_1),percent_stars(submission-month_1),dist_stars(month_1-month_2),percent_stars(month_1-month_2),dist_stars(month_2-month_3),percent_stars(month_2-month_3),dist_stars(month_3-month_4),percent_stars(month_3-month_4),dist_stars(month_4-month_5),percent_stars(month_4-month_5),dist_forks(submission-month_1),percent_forks(submission-month_1),dist_forks(month_1-month_2),percent_forks(month_1-month_2),dist_forks(month_2-month_3),percent_forks(month_2-month_3),dist_forks(month_3-month_4),percent_forks(month_3-month_4),dist_forks(month_4-month_5),percent_forks(month_4-month_5),dist_commits(submission-month_1),percent_commits(submission-month_1),dist_commits(month_1-month_2),percent_commits(month_1-month_2),dist_commits(month_2-month_3),percent_commits(month_2-month_3),dist_commits(month_3-month_4),percent_commits(month_3-month_4),dist_commits(month_4-month_5),percent_commits(month_4-month_5),dist_pull_requests(submission-month_1),percent_pull_requests(submission-month_1),dist_pull_requests(month_1-month_2),percent_pull_requests(month_1-month_2),dist_pull_requests(month_2-month_3),percent_pull_requests(month_2-month_3),dist_pull_requests(month_3-month_4),percent_pull_requests(month_3-month_4),dist_pull_requests(month_4-month_5),percent_pull_requests(month_4-month_5),dist_contributors(submission-month_1),percent_contributors(submission-month_1),dist_contributors(month_1-month_2),percent_contributors(month_1-month_2),dist_contributors(month_2-month_3),percent_contributors(month_2-month_3),dist_contributors(month_3-month_4),percent_contributors(month_3-month_4),dist_contributors(month_4-month_5),percent_contributors(month_4-month_5),sentiment
qeternity,35349608,593,2023-03-28 23:31:09 UTC,Gpt4all: A chatbot trained on ~800k GPT-3.5-Turbo Generations based on LLaMa,https://github.com/nomic-ai/gpt4all,20145,27684,31593,33677,35214,36402,97,292,714,927,979,1053,59,279,530,647,674,707,2378,3157,3674,3947,4128,4265,35,32,34,24,14,12,-0.0285714285714285,0,7539,37.42367833209232,3909,14.120069354139588,2084,6.596397936251705,1537,4.56394571963061,1188,3.373658204123359,779,32.758620689655174,517,16.376306620209064,273,7.4305933587370845,181,4.585761337724861,137,3.3187984496124017,195,201.0309278350516,422,144.52054794520546,213,29.83193277310926,52,5.609492988133752,74,7.558733401430032,220,372.88135593220335,251,89.96415770609318,117,22.07547169811322,27,4.173106646058727,33,4.896142433234417,-3,-8.57142857142857,2,6.25,-10,-29.411764705882348,-10,-41.66666666666666,-2,-14.285714285714292,Neutral
doubleinfinity,35351957,3,2023-03-29 03:25:15 UTC,Integrate GPT Chatbot to MS Word,https://github.com/analyticsinmotion/add-gpt-chatbot-to-microsoft-word,7,14,18,19,23,27,0,2,4,4,4,4,0,0,0,0,0,0,2,3,3,3,5,5,0,1,1,0,0,0,0.0,0,7,100.0,4,28.571428571428584,1,5.555555555555557,4,21.05263157894737,4,17.391304347826093,1,50.0,0,0.0,0,0.0,2,66.66666666666669,0,0.0,2,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,-1,-100.0,0,0.0,0,0.0,Neutral
ftxbro,35352452,421,2023-03-29 04:15:08 UTC,Text2Video-Zero Code and Weights Released by Picsart AI Research (12G VRAM),https://github.com/Picsart-AI-Research/Text2Video-Zero,527,769,951,1094,1232,1324,16,16,16,16,16,16,2,4,4,4,4,4,68,103,132,157,179,190,2,2,0,0,0,0,0.0526315789473684,0,242,45.92030360531311,182,23.667100130039003,143,15.036803364879065,138,12.614259597806225,92,7.467532467532465,35,51.47058823529412,29,28.155339805825264,25,18.939393939393938,22,14.01273885350318,11,6.1452513966480495,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-2,-100.0,0,0.0,0,0.0,0,0.0,Neutral
mkagenius,35354571,1,2023-03-29 09:16:03 UTC,Use own API keys in this desktop app for ChatGPT,https://github.com/mkagenius/deskchat_app,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
theasteve,35361560,4,2023-03-29 18:52:46 UTC,Show HN: Astra: The Command Line App That Connects You to ChatGPT,https://github.com/smallulator/terminalAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
panabee,35365221,18,2023-03-29 23:10:00 UTC,Colossal-AI: open-source ChatGPT option with RLHF based on LLaMA model,https://github.com/hpcaitech/ColossalAI,3856,4774,5405,6368,6814,9660,87,199,336,471,592,764,184,372,654,943,1209,1596,549,684,777,894,963,1205,34,20,21,37,24,34,0.0,0,918,23.80705394190872,631,13.21742773355676,963,17.816836262719704,446,7.0037688442211135,2846,41.76695039624303,135,24.59016393442623,93,13.596491228070178,117,15.057915057915054,69,7.718120805369139,242,25.129802699896143,112,128.73563218390808,137,68.84422110552762,135,40.178571428571416,121,25.690021231422502,172,29.054054054054063,188,102.17391304347828,282,75.80645161290323,289,44.18960244648318,266,28.20784729586424,387,32.00992555831266,-14,-41.17647058823529,1,5.0,16,76.19047619047618,-13,-35.13513513513513,10,41.666666666666686,Neutral
manyoso,35365584,4,2023-03-29 23:43:17 UTC,"New metric for LLM hallucinations with results for GPT-3, GPT3-5 and Alpaca Lora",https://github.com/manyoso/haltt4llm,84,93,104,111,120,126,1,1,1,1,1,1,3,3,3,3,3,3,8,12,14,15,17,18,3,0,0,0,0,0,0.0,0,9,10.714285714285722,11,11.827956989247298,7,6.730769230769226,9,8.108108108108112,6,5.0,4,50.0,2,16.66666666666667,1,7.142857142857139,2,13.333333333333329,1,5.882352941176478,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-3,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
jlowin,35366838,127,2023-03-30 02:04:39 UTC,Show HN: Marvin – build AI functions that use an LLM as a runtime,https://github.com/PrefectHQ/marvin,1127,1844,1986,2207,2338,2528,388,526,691,1079,1153,1220,211,292,349,530,568,594,47,230,238,264,278,295,15,8,7,12,7,6,0.375,0,717,63.62023070097604,142,7.700650759219087,221,11.12789526686808,131,5.935659265971907,190,8.126603934987159,183,389.3617021276596,8,3.478260869565218,26,10.924369747899163,14,5.303030303030297,17,6.115107913669078,138,35.567010309278345,165,31.368821292775664,388,56.15050651230104,74,6.858202038924929,67,5.810928013876833,81,38.38862559241707,57,19.52054794520548,181,51.86246418338109,38,7.169811320754718,26,4.577464788732399,-7,-46.66666666666666,-1,-12.5,5,71.42857142857142,-5,-41.66666666666666,-1,-14.285714285714292,Neutral
doubleinfinity,35370669,2,2023-03-30 10:44:35 UTC,Add ChatGPT to Microsoft Word,https://github.com/analyticsinmotion/add-chatgpt-to-microsoft-word,9,23,31,35,39,43,0,2,2,2,2,2,0,0,0,0,0,0,1,4,5,5,6,7,0,1,0,0,0,0,1.0,1,14,155.55555555555554,8,34.782608695652186,4,12.90322580645163,4,11.42857142857143,4,10.256410256410264,3,300.0,1,25.0,0,0.0,1,20.0,1,16.66666666666667,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,-1,-100.0,0,0.0,0,0.0,0,0.0,Positve
freeqaz,35370772,5,2023-03-30 10:58:51 UTC,LLaMA-Adapter: Efficient Fine-Tuning of LLaMA,https://github.com/ZrrSkywalker/LLaMA-Adapter,1324,2272,2521,2532,2550,2562,54,84,105,105,105,105,2,5,10,10,10,10,89,154,170,170,171,171,5,7,6,0,0,0,1.0,1,948,71.60120845921449,249,10.95950704225352,11,0.4363347877826271,18,0.7109004739336484,12,0.470588235294116,65,73.03370786516854,16,10.389610389610397,0,0.0,1,0.5882352941176521,0,0.0,30,55.55555555555557,21,25.0,0,0.0,0,0.0,0,0.0,3,150.0,5,100.0,0,0.0,0,0.0,0,0.0,2,40.0,-1,-14.285714285714292,-6,-100.0,0,0.0,0,0.0,Positve
garrinm,35371798,1,2023-03-30 12:47:17 UTC,Show HN: Extending ChatGPT with a memory for few shot prompting,https://github.com/gmcgoldr/ait,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
ejcook111,35376052,2,2023-03-30 17:15:57 UTC,Show HN: Vim ChatGPT Plugin,https://github.com/CoderCookE/vim-chatgpt,85,103,114,122,133,140,13,18,22,26,27,30,5,6,10,13,15,18,10,14,16,20,21,21,2,1,2,3,2,1,0.0,0,18,21.17647058823529,11,10.679611650485429,8,7.017543859649123,11,9.016393442622956,7,5.263157894736835,4,40.0,2,14.285714285714278,4,25.0,1,5.0,0,0.0,5,38.46153846153845,4,22.22222222222223,4,18.181818181818187,1,3.846153846153854,3,11.111111111111114,1,20.0,4,66.66666666666669,3,30.0,2,15.384615384615373,3,20.0,-1,-50.0,1,100.0,1,50.0,-1,-33.33333333333334,-1,-50.0,Neutral
liopun,35377665,13,2023-03-30 19:21:34 UTC,Get Instant Feedback and Help for LeetCode/HackerRank with ChatGPT,https://github.com/Liopun/leet-chatgpt-extension,50,65,69,72,77,82,0,0,0,0,0,3,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,1,-0.6666666666666666,-1,15,30.0,4,6.15384615384616,3,4.347826086956516,5,6.944444444444443,5,6.493506493506487,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,Negative
anotherpaulg,35400649,1,2023-04-01 14:41:28 UTC,"A ChatGPT UI for young readers, written by ChatGPT",https://github.com/paul-gauthier/easy-chat,18,33,40,49,51,51,18,18,18,18,18,18,0,0,0,0,0,0,2,3,3,4,4,4,1,0,0,0,0,0,1.0,1,15,83.33333333333331,7,21.212121212121215,9,22.50000000000001,2,4.081632653061234,0,0.0,1,50.0,0,0.0,1,33.333333333333314,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Positve
radicho123,35400806,1,2023-04-01 14:59:04 UTC,A 30K-utterance dataset by making GPT-4 prompt two ChatGPT instances to converse,https://github.com/radi-cho/botbots,133,139,140,143,144,146,6,6,6,6,6,6,0,0,0,0,0,0,12,13,14,14,14,14,1,0,0,0,0,0,0.0,0,6,4.511278195488728,1,0.7194244604316538,3,2.142857142857139,1,0.6993006993007072,2,1.3888888888888855,1,8.333333333333329,1,7.692307692307693,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
Joangel,35418697,2,2023-04-03 04:54:48 UTC,AIQuery: Interact with your database using natural language processing(Chat-GPT),https://github.com/Joangeldelarosa/aiquery,8,8,8,8,9,11,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5,0,0,0.0,0,0.0,0,0.0,1,12.5,2,22.22222222222223,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
tidwall,35421688,2,2023-04-03 11:25:12 UTC,Non-AI Licenses,https://github.com/non-ai-licenses/non-ai-licenses,9,14,18,22,26,32,2,2,6,6,6,6,0,0,7,7,7,7,0,0,0,2,2,5,1,0,1,0,0,0,-1.0,-1,5,55.55555555555557,4,28.571428571428584,4,22.22222222222223,4,18.181818181818187,6,23.07692307692308,0,0.0,0,0.0,2,0.0,0,0.0,3,150.0,0,0.0,4,200.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,1,0.0,-1,-100.0,0,0.0,0,0.0,Negative
georgehill,35430089,4,2023-04-03 19:41:27 UTC,Vicuna: An Open Chatbot Impressing GPT-4,https://github.com/lm-sys/FastChat,14477,19015,21317,22737,23997,24886,354,577,796,1028,1171,1332,280,454,632,867,1040,1165,1595,2151,2486,2737,2940,3086,60,52,34,39,40,33,0.0,0,4538,31.346273399184923,2302,12.106231922166714,1420,6.661350096167368,1260,5.541628183137618,889,3.7046297453848354,556,34.858934169279,335,15.57415155741515,251,10.096540627514088,203,7.416879795396426,146,4.965986394557831,223,62.99435028248587,219,37.95493934142112,232,29.145728643216074,143,13.910505836575863,161,13.748932536293765,174,62.14285714285714,178,39.207048458149785,235,37.18354430379748,173,19.95386389850057,125,12.019230769230774,-8,-13.333333333333329,-18,-34.61538461538461,5,14.705882352941174,1,2.564102564102555,-7,-17.5,Neutral
sharemywin,35433465,1,2023-04-04 00:40:27 UTC,Simple Chat Window(tkinter) in Python for Connecting to ChatGPT API,https://github.com/gnuconcepts/ChatWindowGPT,2,2,2,2,2,2,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Positve
archb,35434790,268,2023-04-04 03:46:29 UTC,An LLM playground you can run on your laptop,https://github.com/nat/openplayground,3772,4279,4595,4799,4955,5100,30,36,38,38,38,38,29,39,44,44,49,49,228,284,322,347,370,384,13,7,4,0,3,0,0.4444444444444444,0,507,13.441145281018024,316,7.384903014723079,204,4.439608269858539,156,3.2506772244217643,145,2.9263370332997027,56,24.561403508771942,38,13.380281690140848,25,7.76397515527951,23,6.628242074927954,14,3.7837837837837895,6,20.0,2,5.555555555555557,0,0.0,0,0.0,0,0.0,10,34.48275862068965,5,12.820512820512818,0,0.0,5,11.36363636363636,0,0.0,-6,-46.15384615384615,-3,-42.85714285714286,-4,-100.0,3,0.0,-3,-100.0,Neutral
ada-lovecraft,35438093,3,2023-04-04 11:46:06 UTC,I told ChatGPT to be a super kawaii cafe maid. Then I made it write my README,https://github.com/ada-lovecraft/lamby-chan,3,3,3,3,3,3,11,11,11,11,11,11,2,2,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,-0.3333333333333333,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
mlejva,35440552,369,2023-04-04 14:50:33 UTC,Show HN: We are building an open-source IDE powered by AI,https://github.com/e2b-dev/e2b,2633,3867,4013,4152,4256,4344,187,276,542,576,824,1109,22,32,48,52,112,205,120,306,318,335,344,352,5,4,5,3,7,6,0.0588235294117647,0,1234,46.86669198632737,146,3.7755365916731303,139,3.463742835783705,104,2.5048169556840065,88,2.0676691729323267,186,154.99999999999997,12,3.921568627450995,17,5.345911949685544,9,2.686567164179096,8,2.3255813953488484,89,47.593582887700535,266,96.3768115942029,34,6.273062730627316,248,43.05555555555557,285,34.587378640776706,10,45.45454545454547,16,50.0,4,8.333333333333329,60,115.3846153846154,93,83.03571428571428,-1,-20.0,1,25.0,-2,-40.0,4,133.33333333333334,-1,-14.285714285714292,Neutral
irhshafkat,35442859,1,2023-04-04 17:14:05 UTC,Coglinker – LLM powered Q/A over ArXiv preprints,https://github.com/irhum/coglinker,17,18,21,22,23,23,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0.0,0,1,5.882352941176478,3,16.66666666666667,1,4.761904761904773,1,4.545454545454547,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-2,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
lucamrtl,35443329,3,2023-04-04 17:42:57 UTC,We are building a unit testing library for NLP models,https://github.com/JohnSnowLabs/nlptest,147,173,182,183,183,183,315,699,1039,1053,1053,1053,114,240,331,335,335,335,13,23,24,24,24,24,8,9,6,2,0,0,1.0,1,26,17.687074829931973,9,5.202312138728331,1,0.5494505494505404,0,0.0,0,0.0,10,76.9230769230769,1,4.347826086956516,0,0.0,0,0.0,0,0.0,384,121.90476190476193,340,48.6409155937053,14,1.3474494706448468,0,0.0,0,0.0,126,110.52631578947368,91,37.91666666666666,4,1.2084592145015025,0,0.0,0,0.0,1,12.5,-3,-33.33333333333334,-4,-66.66666666666667,-2,-100.0,0,0.0,Positve
wutania,35449596,1,2023-04-05 05:16:16 UTC,NLP model trained on Indonesian Bahasa,https://github.com/IndoNLP/indonlu,26,32,38,50,56,65,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,8,10,12,0,0,0,0,0,0,1.0,1,6,23.07692307692308,6,18.75,12,31.57894736842107,6,12.000000000000014,9,16.071428571428584,2,66.66666666666669,3,60.0,0,0.0,2,25.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Positve
dumitruflorin,35450055,2,2023-04-05 06:17:03 UTC,ChatGPT Desktop – Tray App,https://github.com/florindumitru/chatgpt-desktop-tray,11,11,13,13,13,13,4,4,4,4,4,4,2,2,2,2,2,2,3,3,3,3,3,3,2,0,0,0,0,0,0.0,0,0,0.0,2,18.181818181818187,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-2,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
gfortaine,35452021,3,2023-04-05 10:50:26 UTC,LLM-Augmenter,https://github.com/pengbaolin/LLM-Augmenter,116,142,163,189,206,213,0,0,0,0,0,0,1,1,1,1,1,1,6,8,8,10,11,11,1,0,0,0,0,0,0.0,0,26,22.41379310344827,21,14.788732394366209,26,15.950920245398777,17,8.994708994709,7,3.3980582524271767,2,33.333333333333314,0,0.0,2,25.0,1,10.000000000000014,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
kristianpaul,35457225,200,2023-04-05 17:03:18 UTC,Run LLaMA and Alpaca on your computer,https://github.com/cocktailpeanut/dalai,2796,3667,4050,4400,4601,4723,0,0,0,0,0,0,17,22,26,26,26,26,362,461,507,533,554,566,15,4,3,0,0,0,0.25,0,871,31.1516452074392,383,10.444505044995909,350,8.641975308641975,201,4.568181818181813,122,2.6515974788089665,99,27.348066298342545,46,9.978308026030362,26,5.128205128205138,21,3.939962476547848,12,2.166064981949461,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,29.411764705882348,4,18.181818181818187,0,0.0,0,0.0,0,0.0,-11,-73.33333333333333,-1,-25.0,-3,-100.0,0,0.0,0,0.0,Neutral
fhaltmayer,35471071,18,2023-04-06 16:50:52 UTC,GPTCache: Slash Your LLM API Costs by 10x,https://github.com/zilliztech/GPTCache,2517,3209,3747,4328,4671,4867,294,362,404,432,446,457,492,598,663,703,728,743,159,199,244,298,320,335,19,12,13,9,8,5,0.6666666666666666,1,692,27.493047278506168,538,16.76534746026799,581,15.505737923672273,343,7.925138632162671,196,4.196103618068946,40,25.157232704402503,45,22.61306532663316,54,22.13114754098359,22,7.382550335570471,15,4.6875,68,23.12925170068027,42,11.60220994475138,28,6.93069306930694,14,3.240740740740748,11,2.466367713004473,106,21.54471544715446,65,10.869565217391312,40,6.033182503770746,25,3.556187766714089,15,2.060439560439548,-7,-36.8421052631579,1,8.333333333333329,-4,-30.769230769230774,-1,-11.111111111111114,-3,-37.5,Positve
mkmk,35473207,4,2023-04-06 19:27:58 UTC,Babyagi: An example of an AI-powered task management system,https://github.com/yoheinakajima/babyagi,11790,13841,14615,15244,15749,16225,107,124,129,131,131,136,326,371,384,391,395,403,1577,1853,1951,2030,2107,2169,100,23,11,8,3,7,0.0,0,2051,17.396098388464807,774,5.592081497001658,629,4.303797468354432,505,3.312778798215703,476,3.0224141215315257,276,17.501585288522506,98,5.288720992984338,79,4.049205535622761,77,3.7931034482758577,62,2.9425723777883235,17,15.88785046728971,5,4.032258064516128,2,1.5503875968992276,0,0.0,5,3.81679389312977,45,13.803680981595107,13,3.5040431266846355,7,1.8229166666666716,4,1.0230179028132935,8,2.0253164556962133,-77,-77.0,-12,-52.17391304347826,-3,-27.272727272727263,-5,-62.5,4,133.33333333333334,Neutral
lohen78,35492923,3,2023-04-08 13:33:23 UTC,SingularGPT – open-source project that automates your device using AI,https://github.com/abhiprojectz/SingularGPT,127,143,148,151,152,154,7,7,7,7,7,7,2,2,2,2,3,3,9,9,10,12,12,12,3,0,0,0,1,0,1.0,1,16,12.5984251968504,5,3.496503496503493,3,2.027027027027017,1,0.6622516556291487,2,1.3157894736842053,0,0.0,1,11.111111111111114,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,-3,-100.0,0,0.0,0,0.0,1,0.0,-1,-100.0,Positve
fendouai,35499007,2,2023-04-09 00:30:23 UTC,Boost Your ChatGPT Productivity with ChatClipboard,https://github.com/fendouai/ChatClipboard,10,12,12,12,12,12,2,2,2,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1.0,1,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Positve
M4v3R,35505635,5,2023-04-09 19:26:54 UTC,An experiment for creating an AI Developer sidekick that works on existing code,https://github.com/maciej-trebacz/gptinker,13,14,14,14,15,15,10,10,10,10,10,10,3,3,3,3,3,3,4,4,4,4,4,4,2,0,0,0,0,0,0.0,0,1,7.692307692307693,0,0.0,0,0.0,1,7.142857142857139,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-2,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
rwilinski,35510516,252,2023-04-10 09:19:13 UTC,Personal Concierge Using OpenAI's ChatGPT via Telegram and Voice Messages,https://github.com/RafalWilinski/telegram-chatgpt-concierge-bot,876,918,934,951,957,969,25,25,25,25,25,25,12,12,12,12,15,15,72,84,90,94,99,100,5,0,0,0,1,0,0.05,0,42,4.794520547945197,16,1.742919389978212,17,1.8201284796573844,6,0.6309148264984117,12,1.2539184952978104,12,16.66666666666667,6,7.142857142857139,4,4.444444444444457,5,5.319148936170208,1,1.0101010101010104,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,25.0,0,0.0,-5,-100.0,0,0.0,0,0.0,1,0.0,-1,-100.0,Neutral
DrRavenstein,35511194,37,2023-04-10 11:37:10 UTC,Show HN: TurboPilot: Copilot clone runs code completion LLM on your CPU,https://github.com/ravenscroftj/turbopilot,2863,3056,3136,3243,3365,3427,84,127,138,148,217,218,4,10,15,15,52,52,97,106,111,112,124,126,3,2,2,1,4,1,0.5,0,193,6.741180579811385,80,2.617801047120423,107,3.411989795918373,122,3.761948812827626,62,1.8424962852897409,9,9.278350515463911,5,4.716981132075489,1,0.9009009009008936,12,10.714285714285722,2,1.6129032258064484,43,51.190476190476176,11,8.661417322834652,10,7.246376811594217,69,46.621621621621614,1,0.4608294930875729,6,150.0,5,50.0,0,0.0,37,246.66666666666669,0,0.0,-1,-33.33333333333334,0,0.0,-1,-50.0,3,300.0,-3,-75.0,Neutral
logankilpatrick,35515369,32,2023-04-10 18:11:06 UTC,"ChatGPT Plugins, up and running in <5 minutes",https://github.com/openai/plugins-quickstart,1045,2678,3122,3297,3403,3514,0,2,5,5,5,5,5,22,35,37,49,49,102,471,594,642,686,726,5,14,4,2,5,0,0.0,0,1633,156.2679425837321,444,16.579536967886483,175,5.605381165919283,106,3.215043979375196,111,3.2618277990008835,369,361.7647058823529,123,26.11464968152866,48,8.080808080808083,44,6.853582554517132,40,5.830903790087461,2,0.0,3,150.0,0,0.0,0,0.0,0,0.0,17,340.00000000000006,13,59.09090909090909,2,5.714285714285722,12,32.43243243243242,0,0.0,9,180.0,-10,-71.42857142857143,-2,-50.0,3,150.0,-5,-100.0,Neutral
gillh,35519011,2,2023-04-11 00:09:39 UTC,Automate PR Reviews with ChatGPT,https://github.com/fluxninja/openai-pr-reviewer,76,102,102,102,102,102,328,340,340,340,340,340,284,311,311,311,311,311,14,21,21,21,21,21,8,6,0,0,0,0,0.0,0,26,34.21052631578948,0,0.0,0,0.0,0,0.0,0,0.0,7,50.0,0,0.0,0,0.0,0,0.0,0,0.0,12,3.658536585365852,0,0.0,0,0.0,0,0.0,0,0.0,27,9.50704225352112,0,0.0,0,0.0,0,0.0,0,0.0,-2,-25.0,-6,-100.0,0,0.0,0,0.0,0,0.0,Neutral
a0x80,35520334,2,2023-04-11 03:17:11 UTC,(The wheel:) another way to custom actions for ChatGPT(or other LLMs),https://github.com/llmapi-io/llm-linker,2,2,2,2,2,2,6,6,6,6,6,6,0,0,0,0,0,0,1,1,2,2,2,2,1,0,0,0,0,0,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Positve
